gauge	HUC2	Dry	PctFlow	m_90-10	err_1_abs	err_1b	break	err_2_abs	err_2b	m_1	m_2	err_ratio_abs	LAT	LONG
2074500	3	0	100	2.035017872508795	0.08233585085994677	0.044740470252257296	20.0	0.04430869234924412	-0.03325951210793884	3.5755175241226693	1.814946493706813	1.8582324707524653	36.61958	-79.50419000000002
2077200	3	1	94.64530155407037	5.453831059529994	0.27074581291968536	-0.24366284083884626	69.09107013447137	0.0830532579179031	0.0048286683688098945	4.630756752589766	8.50404760877907	3.259905989326915	36.39778	-79.19667
2081500	3	1	99.58128673806264	6.297970232615483	0.28779670561906284	-0.2569286658033326	68.71108784926322	0.08297419744384074	0.023965622671439334	5.3537348655407	8.950821978206545	3.4685084578715175	36.19417	-78.58306
2082950	3	0	100	4.448061048959577	0.17374257772625729	-0.12453856353344893	73.0	0.0689246327254276	0.037721185138048	3.9393896146322653	6.333137540878439	2.5207617488277214	36.18333	-77.87611
2092500	3	0	100	5.417380438588717	0.26249399782689514	-0.25585503708416996	75.0	0.06093494064541022	0.007728492038683115	4.616492023176972	8.887896905372946	4.3077747355887	35.064170000000004	-77.46139000000002
2096846	3	1	93.41802650312123	6.289578871636951	0.2882837429178392	-0.27832847995355203	63.52425802212244	0.05171894285673254	0.007071970564276963	5.249268154994951	9.032216215511312	5.574045542972882	35.98722	-79.20611
2102908	3	0	100	1.6339463007014585	0.052999615242570776	0.026966800125971614	16.0	0.03480763285775805	-0.02170116767092453	3.2359335740159563	1.5040554407029858	1.5226434805019506	35.18278	-79.1775
2108000	3	0	100	4.284393362474411	0.2063288576316507	-0.1966940195132321	72.0	0.06362551854021634	-0.014308547996418675	3.703407384658755	6.285567286061671	3.242863278218073	34.82889	-77.83221999999998
2111180	3	0	100	2.3946204630735215	0.05868293492713096	0.03921525689016004	18.0	0.03168191636836279	-0.018855032213047428	3.828230725308954	2.2353304339362507	1.852253324730416	36.07139	-81.40306
2111500	3	0	100	1.8973383986357624	0.06204136094504199	0.03238547124473752	21.0	0.029664953836271782	-0.02087563798702963	2.8536174052970353	1.7448881222115014	2.091402578526284	36.175	-81.16889
2112120	3	0	100	1.9714713127698484	0.0627435992879086	0.03925928853149219	21.0	0.02790531215034591	-0.01865372533495199	3.0112731526446437	1.8057058020651713	2.2484464230274104	36.25028	-81.04444000000002
2112360	3	0	100	1.783895444550182	0.0608962337866306	0.009853567475952582	17.0	0.04576006888670829	-0.03361395161120678	3.010300447366466	1.6662949648280727	1.3307723364096342	36.31139	-80.80722
2118500	3	0	100	2.056085436767001	0.07669289215964406	0.06366668504943958	20.0	0.028465645615228647	-0.006453627889888102	3.4409616173187234	1.8582459824024695	2.6942263385241696	36.00056	-80.74556
2125000	3	1	93.93137433838291	7.026158634658146	0.2980399667861352	-0.23832639275429904	70.44853075378718	0.1042005560117186	0.04039762529012904	6.1245512487994365	10.933123973379228	2.860253132935462	35.33472000000001	-80.33556
2128000	3	1	99.95306633291614	4.303666587863224	0.2071568381523474	-0.1653664642018565	75.96433041301627	0.07500844813113335	0.019622642409626526	3.7498407698889857	6.91455972974177	2.7617800836271926	35.38722	-79.83139
2137727	3	0	100	2.1448671480666768	0.0658632534546433	0.005071449886615827	15.0	0.05097831739731919	-0.03344192060218423	3.6661452823742793	2.0434486057795036	1.291985628739227	35.68583	-82.06028
2140991	3	0	100	2.2595725691198165	0.061699076281470845	0.014018694825189451	16.0	0.044479960034340356	-0.030519835148913606	3.725632514100713	2.1407028438510953	1.3871207670563692	35.83361	-81.71194
2143000	3	0	100	2.2691124582978115	0.07466384852962966	0.0007012631651446263	17.0	0.05697283898568907	-0.043772750325263975	3.5239149817771995	2.148788928649103	1.3105165524292088	35.68444	-81.40333000000003
2143040	3	0	100	2.6602896323115846	0.08475876445693192	0.011835786019047344	19.0	0.062388792849680984	-0.04581144842629525	3.9253261659732703	2.499932888607991	1.3585575322982921	35.59069	-81.56704
